id,date,ex_name,set_number,reps,weight,user_name
0,2026-05-02,Bench press,1,5,71.0,Default
1,2026-05-02,Bench press,2,10,73.5,Default
2,2026-05-02,Deadlift,1,3,109.0,Default
3,2026-05-02,Deadlift,2,5,113.5,Default
4,2026-05-04,Squat,1,8,91.5,Default
5,2026-05-04,Squat,2,8,94.0,Default
6,2026-05-04,Bicep curls,1,12,11.1,Default
7,2026-05-04,Bicep curls,2,8,14.6,Default
8,2026-05-08,Deadlift,1,5,111.4,Default
9,2026-05-08,Deadlift,2,5,113.9,Default
10,2026-05-08,Bench press,1,5,69.8,Default
11,2026-05-08,Bench press,2,8,73.3,Default
12,2026-05-10,Bicep curls,1,8,11.4,Default
13,2026-05-10,Bicep curls,2,12,13.9,Default
14,2026-05-10,Squat,1,8,92.5,Default
15,2026-05-10,Squat,2,8,94.0,Default
16,2026-05-14,Bench press,1,8,71.6,Default
17,2026-05-14,Bench press,2,8,75.1,Default
18,2026-05-14,Deadlift,1,6,113.8,Default
19,2026-05-14,Deadlift,2,6,114.3,Default
20,2026-05-16,Squat,1,8,91.5,Default
21,2026-05-16,Squat,2,5,96.0,Default
22,2026-05-16,Bicep curls,1,12,11.6,Default
23,2026-05-16,Bicep curls,2,8,15.1,Default
24,2026-05-20,Deadlift,1,5,114.2,Default
25,2026-05-20,Deadlift,2,3,116.7,Default
26,2026-05-20,Bench press,1,5,72.4,Default
27,2026-05-20,Bench press,2,10,74.9,Default
28,2026-05-22,Bicep curls,1,8,13.8,Default
29,2026-05-22,Bicep curls,2,12,16.3,Default
30,2026-05-22,Squat,1,5,93.5,Default
31,2026-05-22,Squat,2,6,96.0,Default
32,2026-05-26,Bench press,1,8,73.2,Default
33,2026-05-26,Bench press,2,8,75.7,Default
34,2026-05-26,Deadlift,1,3,115.6,Default
35,2026-05-26,Deadlift,2,5,119.1,Default
36,2026-05-28,Squat,1,6,94.5,Default
37,2026-05-28,Squat,2,6,97.0,Default
38,2026-05-28,Bicep curls,1,12,13.1,Default
39,2026-05-28,Bicep curls,2,10,16.6,Default
40,2026-06-01,Deadlift,1,3,118.0,Default
41,2026-06-01,Deadlift,2,3,119.5,Default
42,2026-06-01,Bench press,1,8,73.0,Default
43,2026-06-01,Bench press,2,5,77.5,Default
44,2026-06-03,Bicep curls,1,8,13.3,Default
45,2026-06-03,Bicep curls,2,8,14.8,Default
46,2026-06-03,Squat,1,8,94.5,Default
47,2026-06-03,Squat,2,5,97.0,Default
48,2026-06-07,Bench press,1,10,73.8,Default
49,2026-06-07,Bench press,2,5,76.3,Default
50,2026-06-07,Deadlift,1,6,119.4,Default
51,2026-06-07,Deadlift,2,3,121.9,Default
52,2026-06-09,Squat,1,8,97.5,Default
53,2026-06-09,Squat,2,8,98.0,Default
54,2026-06-09,Bicep curls,1,10,12.6,Default
55,2026-06-09,Bicep curls,2,10,17.1,Default
56,2026-06-13,Deadlift,1,6,118.8,Default
57,2026-06-13,Deadlift,2,5,121.3,Default
58,2026-06-13,Bench press,1,10,74.6,Default
59,2026-06-13,Bench press,2,8,79.1,Default
60,2026-06-15,Bicep curls,1,12,12.8,Default
61,2026-06-15,Bicep curls,2,12,16.3,Default
62,2026-06-15,Squat,1,5,98.5,Default
63,2026-06-15,Squat,2,5,101.0,Default
64,2026-06-19,Bench press,1,8,77.4,Default
65,2026-06-19,Bench press,2,5,79.9,Default
66,2026-06-19,Deadlift,1,5,120.2,Default
67,2026-06-19,Deadlift,2,6,124.7,Default
68,2026-06-21,Squat,1,8,98.5,Default
69,2026-06-21,Squat,2,5,102.0,Default
70,2026-06-21,Bicep curls,1,12,15.0,Default
71,2026-06-21,Bicep curls,2,10,16.5,Default
72,2026-06-25,Deadlift,1,6,121.6,Default
73,2026-06-25,Deadlift,2,6,126.1,Default
74,2026-06-25,Bench press,1,5,76.2,Default
75,2026-06-25,Bench press,2,5,79.7,Default
76,2026-06-27,Bicep curls,1,12,15.3,Default
77,2026-06-27,Bicep curls,2,12,15.8,Default
78,2026-06-27,Squat,1,5,100.5,Default
79,2026-06-27,Squat,2,8,101.0,Default
80,2026-07-01,Bench press,1,10,79.0,Default
81,2026-07-01,Bench press,2,8,80.5,Default
82,2026-07-01,Deadlift,1,3,124.0,Default
83,2026-07-01,Deadlift,2,3,126.5,Default
84,2026-07-03,Squat,1,6,99.5,Default
85,2026-07-03,Squat,2,6,103.0,Default
86,2026-07-03,Bicep curls,1,10,15.5,Default
87,2026-07-03,Bicep curls,2,8,18.0,Default
88,2026-07-07,Deadlift,1,5,126.4,Default
89,2026-07-07,Deadlift,2,3,126.9,Default
90,2026-07-07,Bench press,1,10,77.8,Default
91,2026-07-07,Bench press,2,5,81.3,Default
92,2026-07-09,Bicep curls,1,8,13.8,Default
93,2026-07-09,Bicep curls,2,12,18.3,Default
94,2026-07-09,Squat,1,8,101.5,Default
95,2026-07-09,Squat,2,6,103.0,Default
96,2026-07-13,Bench press,1,5,78.6,Default
97,2026-07-13,Bench press,2,8,83.1,Default
98,2026-07-13,Deadlift,1,6,127.8,Default
99,2026-07-13,Deadlift,2,3,129.3,Default
100,2026-08-04,Squat,1,3,120.0,Default
101,2026-08-04,Squat,1,1,140.0,Default
102,2026-08-04,Squat,1,1,145.0,Default
103,2026-08-04,Squat,1,1,150.0,Default
104,2026-08-04,Squat,1,1,166.0,Default
105,2026-08-04,Squat,1,1,168.0,Default
106,2026-08-04,Bench press,1,1,100.0,Default
107,2026-08-04,Bench press,2,7,85.0,Default
