index,date,ex_name,SiaR,reps,weight
0,2026-05-02,Bench press,1,5.0,71.0
1,2026-05-02,Bench press,2,10.0,73.5
2,2026-05-02,Deadlift,1,3.0,109.0
3,2026-05-02,Deadlift,2,5.0,113.5
4,2026-05-04,Squat,1,8.0,91.5
5,2026-05-04,Squat,2,8.0,94.0
6,2026-05-04,Bicep curls,1,12.0,11.1
7,2026-05-04,Bicep curls,2,8.0,14.6
8,2026-05-08,Deadlift,1,5.0,111.4
9,2026-05-08,Deadlift,2,5.0,113.9
10,2026-05-08,Bench press,1,5.0,69.8
11,2026-05-08,Bench press,2,8.0,73.3
12,2026-05-10,Bicep curls,1,8.0,11.4
13,2026-05-10,Bicep curls,2,12.0,13.9
14,2026-05-10,Squat,1,8.0,92.5
15,2026-05-10,Squat,2,8.0,94.0
16,2026-05-14,Bench press,1,8.0,71.6
17,2026-05-14,Bench press,2,8.0,75.1
18,2026-05-14,Deadlift,1,6.0,113.8
19,2026-05-14,Deadlift,2,6.0,114.3
20,2026-05-16,Squat,1,8.0,91.5
21,2026-05-16,Squat,2,5.0,96.0
22,2026-05-16,Bicep curls,1,12.0,11.6
23,2026-05-16,Bicep curls,2,8.0,15.1
24,2026-05-20,Deadlift,1,5.0,114.2
25,2026-05-20,Deadlift,2,3.0,116.7
26,2026-05-20,Bench press,1,5.0,72.4
27,2026-05-20,Bench press,2,10.0,74.9
28,2026-05-22,Bicep curls,1,8.0,13.8
29,2026-05-22,Bicep curls,2,12.0,16.3
30,2026-05-22,Squat,1,5.0,93.5
31,2026-05-22,Squat,2,6.0,96.0
32,2026-05-26,Bench press,1,8.0,73.2
33,2026-05-26,Bench press,2,8.0,75.7
34,2026-05-26,Deadlift,1,3.0,115.6
35,2026-05-26,Deadlift,2,5.0,119.1
36,2026-05-28,Squat,1,6.0,94.5
37,2026-05-28,Squat,2,6.0,97.0
38,2026-05-28,Bicep curls,1,12.0,13.1
39,2026-05-28,Bicep curls,2,10.0,16.6
40,2026-06-01,Deadlift,1,3.0,118.0
41,2026-06-01,Deadlift,2,3.0,119.5
42,2026-06-01,Bench press,1,8.0,73.0
43,2026-06-01,Bench press,2,5.0,77.5
44,2026-06-03,Bicep curls,1,8.0,13.3
45,2026-06-03,Bicep curls,2,8.0,14.8
46,2026-06-03,Squat,1,8.0,94.5
47,2026-06-03,Squat,2,5.0,97.0
48,2026-06-07,Bench press,1,10.0,73.8
49,2026-06-07,Bench press,2,5.0,76.3
50,2026-06-07,Deadlift,1,6.0,119.4
51,2026-06-07,Deadlift,2,3.0,121.9
52,2026-06-09,Squat,1,8.0,97.5
53,2026-06-09,Squat,2,8.0,98.0
54,2026-06-09,Bicep curls,1,10.0,12.6
55,2026-06-09,Bicep curls,2,10.0,17.1
56,2026-06-13,Deadlift,1,6.0,118.8
57,2026-06-13,Deadlift,2,5.0,121.3
58,2026-06-13,Bench press,1,10.0,74.6
59,2026-06-13,Bench press,2,8.0,79.1
60,2026-06-15,Bicep curls,1,12.0,12.8
61,2026-06-15,Bicep curls,2,12.0,16.3
62,2026-06-15,Squat,1,5.0,98.5
63,2026-06-15,Squat,2,5.0,101.0
64,2026-06-19,Bench press,1,8.0,77.4
65,2026-06-19,Bench press,2,5.0,79.9
66,2026-06-19,Deadlift,1,5.0,120.2
67,2026-06-19,Deadlift,2,6.0,124.7
68,2026-06-21,Squat,1,8.0,98.5
69,2026-06-21,Squat,2,5.0,102.0
70,2026-06-21,Bicep curls,1,12.0,15.0
71,2026-06-21,Bicep curls,2,10.0,16.5
72,2026-06-25,Deadlift,1,6.0,121.6
73,2026-06-25,Deadlift,2,6.0,126.1
74,2026-06-25,Bench press,1,5.0,76.2
75,2026-06-25,Bench press,2,5.0,79.7
76,2026-06-27,Bicep curls,1,12.0,15.3
77,2026-06-27,Bicep curls,2,12.0,15.8
78,2026-06-27,Squat,1,5.0,100.5
79,2026-06-27,Squat,2,8.0,101.0
80,2026-07-01,Bench press,1,10.0,79.0
81,2026-07-01,Bench press,2,8.0,80.5
82,2026-07-01,Deadlift,1,3.0,124.0
83,2026-07-01,Deadlift,2,3.0,126.5
84,2026-07-03,Squat,1,6.0,99.5
85,2026-07-03,Squat,2,6.0,103.0
86,2026-07-03,Bicep curls,1,10.0,15.5
87,2026-07-03,Bicep curls,2,8.0,18.0
88,2026-07-07,Deadlift,1,5.0,126.4
89,2026-07-07,Deadlift,2,3.0,126.9
90,2026-07-07,Bench press,1,10.0,77.8
91,2026-07-07,Bench press,2,5.0,81.3
92,2026-07-09,Bicep curls,1,8.0,13.8
93,2026-07-09,Bicep curls,2,12.0,18.3
94,2026-07-09,Squat,1,8.0,101.5
95,2026-07-09,Squat,2,6.0,103.0
96,2026-07-13,Bench press,1,5.0,78.6
97,2026-07-13,Bench press,2,8.0,83.1
98,2026-07-13,Deadlift,1,6.0,127.8
99,2026-07-13,Deadlift,2,3.0,129.3
